step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
78,2011.65,2366133.307906,385791.989705,964468.889723,0.0,16236.38932,6088.645972,10147.743308,120374.795088,46001.602834,81532.713111,5,10,2885.669008,5410.629429,352412.332724,42,21,14,69,21,15,0,23.810,14.33,1.143,7.44,5.32,3.83,0
79,2013.80,2359034.925598,384850.620811,962115.487879,0.0,16396.211193,6148.579174,10247.631978,121722.814115,46470.151516,84354.663637,7,12,2922.465807,5479.623428,356906.141922,44,21,12,71,36,26,1,19.444,14.48,1.143,7.80,6.86,3.23,0
80,2012.16,2351957.859589,384251.410674,960617.239074,0.0,16647.921226,6242.970436,10404.950748,123066.789084,47180.966108,86563.727034,5,9,2965.953545,5561.162937,362217.081952,40,20,12,70,28,20,1,17.857,14.47,1.143,7.05,6.01,3.65,0
81,2014.28,2344902.027667,384522.422897,961294.759254,0.0,16889.000362,6333.375112,10555.625208,124406.732118,47858.486288,86563.727034,5,9,3005.858793,5635.985277,367090.510407,41,21,13,71,30,21,1,16.667,14.38,1.143,6.92,7.27,4.09,0
82,2017.96,2337867.35442,384783.356975,961947.099516,0.0,17116.362516,6418.635919,10697.726554,125742.655355,48510.82655,86563.727034,6,11,3050.62406,5719.920154,372557.46874,45,21,12,70,27,19,1,22.222,14.51,1.143,7.50,6.90,2.95,0
83,2015.23,2330853.792497,384175.091972,960426.650589,0.0,17316.554583,6493.707944,10822.846596,127074.570852,49073.833648,88647.183059,5,9,3083.971755,5782.447083,376630.056052,39,21,15,71,30,21,1,16.667,14.29,1.143,6.85,6.44,3.03,0
84,2018.20,2323861.266768,384114.147427,960274.101202,0.0,17559.445155,6584.791908,10974.653203,128402.490593,49757.105437,89483.004235,5,9,3124.529279,5858.492442,381583.143789,37,21,14,70,23,16,0,21.739,14.26,1.143,7.28,5.27,3.86,0
85,2021.80,2316889.720977,384346.631093,960855.610593,0.0,17761.549314,6660.580967,11100.968302,129726.426587,50338.614828,89483.004235,6,11,3165.195408,5934.741435,386549.494914,44,21,13,72,36,26,1,16.667,14.20,1.143,6.62,6.76,4.55,0
86,2022.14,2309939.080922,383879.001827,959686.388439,0.0,17974.763223,6740.536183,11234.226995,131046.390799,50928.13449,91241.746051,4,8,3195.320681,5991.226323,390228.54399,40,20,14,71,29,21,1,13.793,14.16,1.143,7.17,4.30,4.04,0
87,2018.20,2303009.305603,382982.144544,957444.306364,0.0,18233.464935,6837.549325,11395.915565,132362.395129,51657.349978,94213.043614,5,9,3239.299991,6073.687529,395599.517256,37,21,14,69,22,16,0,22.727,14.01,1.143,6.61,4.67,3.44,0
