step,price,openInterest,tvl,insuranceBalance,badDebt,protocolRevenue,makerFeesCollected,takerFeesCollected,fundingFeesTransferred,insuranceFundInflow,insuranceFundOutflow,liquidationInsuranceInflow,liquidations,liquidatorOrders,liquidatorRewardsPaid,liquidationPenaltyCollected,marginReturnedFromLiquidation,positionsAtRisk,trades,uniqueTraders,openOrders,newOrders,filledOrders,cancelledOrders,liquidationsPer100Orders,avgLeverage,longShortRatio,spreadBps,slippageBps,priceImpactBps,isInsolvent
86,2022.14,115113.0,50021.807,22811.865,0.0,1226.928,408.976,817.952,0.000117,22811.865,0.0,22811.865,0,0,12166.328,22811.865,1117460.388838,0,2,10,0,6,4,2,0.000,9.65,1.514,1.70,1.00,0.00,0
87,2018.20,119978.0,49819.66,22943.7,0.0,1237.1685,412.3895,824.779,0.000117,22943.7,0.0,22943.7,4,4,12236.64,22943.7,1129796.976396,0,3,13,0,6,6,0,66.667,9.65,1.280,19.50,11.00,7.00,0
88,2018.79,117755.0,49662.639,23046.105,0.0,1240.6215,413.5405,827.081,0.000117,23046.105,0.0,23046.105,3,3,12291.256,23046.105,1138277.021268,0,2,12,0,6,4,2,50.000,9.59,1.449,2.95,1.00,1.00,0
89,2020.45,115453.0,49609.693,23080.635,0.0,1240.6215,413.5405,827.081,0.000117,23080.635,0.0,23080.635,2,2,12309.672,23080.635,1143500.38484,0,0,12,0,6,0,6,33.333,9.59,1.522,8.22,4.00,3.00,0
90,2021.72,132741.0,49609.693,23080.635,0.0,1253.5875,417.8625,835.725,0.000117,23080.635,0.0,23080.635,0,0,12309.672,23080.635,1143500.38484,0,2,14,0,6,4,2,0.000,9.62,1.439,6.28,3.00,2.00,0
91,2022.56,122389.0,49274.307,23299.365,0.0,1256.76,418.92,837.84,0.000117,23299.365,0.0,23299.365,4,4,12426.328,23299.365,1153537.789043,0,1,14,0,6,2,4,66.667,9.58,1.917,4.16,2.00,1.00,0
92,2026.17,97104.0,48692.752,23678.64,0.0,1256.76,418.92,837.84,0.000117,23678.64,0.0,23678.64,6,6,12628.608,23678.64,1172063.714091,0,0,13,0,6,0,6,100.000,9.58,4.823,17.85,10.00,7.00,0
93,2028.70,92328.0,48309.204,23928.78,0.0,1265.685,421.895,843.79,0.000117,23928.78,0.0,23928.78,3,3,12762.016,23928.78,1181555.317979,0,2,13,0,6,4,2,50.000,9.55,14.517,12.46,7.00,4.00,0
94,2032.54,94814.0,48172.354,24018.03,0.0,1272.012,424.004,848.008,0.000117,24018.03,0.0,24018.03,2,2,12809.616,24018.03,1187814.759313,0,1,13,0,6,2,4,33.333,9.60,21.478,18.93,11.00,7.00,0
95,2035.63,104910.0,48075.34,24081.3,0.0,1282.7475,427.5825,855.165,0.000167,24081.3,0.0,24081.3,1,1,12843.36,24081.3,1190009.671546,0,3,13,0,6,6,0,16.667,9.61,13.658,15.23,9.00,6.00,0
96,2035.45,133973.0,47910.729,24188.655,0.0,1309.9125,436.6375,873.275,0.000167,24188.655,0.0,24188.655,3,3,12900.616,24188.655,1197413.861755,0,3,15,0,6,6,0,50.000,9.67,4.302,0.88,0.00,0.00,0
97,2034.63,125935.0,47494.199,24460.305,0.0,1317.4665,439.1555,878.311,0.000167,24460.305,0.0,24460.305,3,3,13045.496,24460.305,1203952.805891,0,3,15,0,6,6,0,50.000,9.83,3.156,4.05,2.00,1.00,0
98,2032.49,124157.0,47281.357,24599.115,0.0,1323.0735,441.0245,882.049,0.000167,24599.115,0.0,24599.115,4,4,13119.528,24599.115,1214992.3818,0,1,14,0,6,2,4,66.667,9.87,2.647,10.51,6.00,4.00,0
99,2030.46,145329.0,47195.383,24655.185,0.0,1341.756,447.252,894.504,0.000167,24655.185,0.0,24655.185,1,1,13149.432,24655.185,1218044.922333,0,1,14,0,6,2,4,16.667,9.83,2.126,9.98,5.00,3.00,0
